Brand,Supplier,Digital person-in-charge,Category,Product Type,Normal Structure (MLP RRP),Normal Sales Structure UK,Spring Sale Structure 2025,Black Friday Structure 2024,Platinum Price,Normal Structure USA,Normal EU Structure,Last Updated UK,Last Updated USA,Last Updated EU,Free USA Shipping,Special Order Tickbox
,Deldo,Muazzim,Tyres,All,Cost Exc VAT / 0.88 *1.2 Price Inc VAT,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hawk Performance ,,,,,"MLP UK Price Inc VAT = (Jobber x 0.75) + 30 - Pads & Others
MLP UK Price Inc VAT = (Jobber x 0.75) + 180 - Rotors",,,,,MLP USA Price = MAP,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",17.01.2025 - Fatin,17.01.2025 - Fatin,17.01.2025 - Fatin,,
Hans,Autodoc,Nazreen,Car Parts,All,All,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Happy Kids,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hart,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Harting,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hazet,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
HC-Cargo,,Nazreen,,All,"InterCar cost inc VAT < 1, Price inc VAT = Cost inc VAT * 7
InterCar cost inc VAT < 5, Price inc VAT = Cost inc VAT * 5
InterCar cost inc VAT < 10, Price inc VAT = Cost inc VAT * 2.5
Otherwise, MLP Price Inc VAT = InterCar cost inc VAT / 0.8",,,,,,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",30.07.2024,30.07.2024,30.07.2024,,
Heko,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
HEL Performance,HEL Performance,Amanina,Performance,"Everything Except Oil Coolers, Oil Filter Cap",RRP,MLP UK Price = 5% Off RRP,MLP Price Inc = 15% Off MLP RRP (Omitted from MLP10 code),MLP Price Inc = 15% Off MLP RRP,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = Show Off Import RRP
MLP EU Price Inc GMBH VAT = 10% off RRP (brakelines), 3% off RRP (oil coolers), 3% off RRP (clutch lines)",27.01.2025 - Yu qi ,27.01.2025 - Yu qi ,15.10.2024,,
HEL Performance,HEL Performance,Amanina,,"Oil Coolers, Oil Filter Cap",RRP,MLP UK Price = 5% Off RRP,MLP Price Inc = 10% Off MLP RRP (Omitted from MLP10 code),MLP Price Inc = 10% Off MLP RRP,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Helix,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hella,Autodoc,Nazreen,Car Parts,All,"InterCar cost inc VAT < 1, Price inc VAT = Cost inc VAT * 7
InterCar cost inc VAT < 5, Price inc VAT = Cost inc VAT * 5
InterCar cost inc VAT < 10, Price inc VAT = Cost inc VAT * 2.5
Otherwise, MLP Price Inc VAT = InterCar cost inc VAT / 0.8",-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",30.07.2024,30.07.2024,30.07.2024,,
Hellfire,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hello Kitty,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hengst Filter,Autodoc,Nazreen,Car Parts,All,"InterCar cost inc VAT < 1, Price inc VAT = Cost inc VAT * 7
InterCar cost inc VAT < 5, Price inc VAT = Cost inc VAT * 5
InterCar cost inc VAT < 10, Price inc VAT = Cost inc VAT * 2.5
Otherwise, MLP Price Inc VAT = InterCar cost inc VAT / 0.8",-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",30.07.2024,30.07.2024,30.07.2024,,
Hepu,,Nazreen,,All,"InterCar cost inc VAT < 1, Price inc VAT = Cost inc VAT * 7
InterCar cost inc VAT < 5, Price inc VAT = Cost inc VAT * 5
InterCar cost inc VAT < 10, Price inc VAT = Cost inc VAT * 2.5
Otherwise, MLP Price Inc VAT = InterCar cost inc VAT / 0.8",,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",30.07.2024,30.07.2024,30.07.2024,,
Hercules,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Herth+Buss,Autodoc,Nazreen,Car Parts,All,"InterCar cost inc VAT < 1, Price inc VAT = Cost inc VAT * 7
InterCar cost inc VAT < 5, Price inc VAT = Cost inc VAT * 5
InterCar cost inc VAT < 10, Price inc VAT = Cost inc VAT * 2.5
Otherwise, MLP Price Inc VAT = InterCar cost inc VAT / 0.8",,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",01.07.2024,01.07.2024,01.07.2024,,
Hertz,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hexon,Hexon,-,Performance,All,RRP,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Heyner,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
